OTU_ID	IS013	IS014	IS015	IS016	IS017	IS018	IS019	IS020	IS021	IS023	IS024	IS025	IS026	IS028	IS029	IS030	IS033	IS035	IS036	IS039	IS043	IS044	IS045	IS047	IS180	IS181	IS182	IS183	IS185	IS186	IS187	IS188	IS189	IS190	IS191	IS192	IS193	IS195	IS196	IS197	IS199	IS200	IS201	IS203	IS204	IS205	IS206	IS207	IS208	IS209	IS210
820f6693f569e339f183638cd73a7fe6	0.0	0.0	4.0	0.0	0.0	24.0	4.0	0.0	27.0	0.0	0.0	16.0	73.0	12.0	63.0	10.0	18.0	12.0	10.0	5.0	0.0	32.0	0.0	21.0	0.0	0.0	12.0	66.0	0.0	0.0	130.0	20.0	0.0	8.0	180.0	51.0	0.0	0.0	14.0	13.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
7a6dba47692f821cabeaf266b6b36593	105.0	0.0	0.0	0.0	10.0	13.0	13.0	0.0	0.0	11.0	0.0	20.0	19.0	0.0	0.0	0.0	0.0	0.0	19.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	475.0	0.0	4.0	13.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	4.0	0.0
76a2a89fb35336e7b117fc44ff915092	0.0	0.0	67.0	0.0	62.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	56.0	0.0	0.0	0.0	10.0	186.0	66.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	29.0	35.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0
377bf1b86dd15d576b1b9edd617843ce	0.0	0.0	0.0	0.0	109.0	11.0	3.0	0.0	296.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	336.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
b6825773b8b549f2ab996dcd37e1bedd	0.0	0.0	0.0	61.0	126.0	0.0	0.0	0.0	580.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
66aec999fc8acc724b0995b85ad0eb7c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	620.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70dbac76545ca7f0d29e40f47caf5706	111.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	12.0	50.0	5.0	9.0	0.0	0.0	0.0	14.0	99.0	51.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0
6e3e062d65c1b047950a2492118eb70b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	711.0	0.0
81b14a06fe51fed6aaa311ff4e370125	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	19.0	21.0	0.0	0.0	32.0	55.0	0.0	168.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	244.0
a23a4a447ceeffd4b0d85ac179dc766d	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	729.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	52.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
